,,0
68,20, fuel cell
68,21, glucose
68,22, oxic conditions
68,23, oxidation
68,24, reaction rate
69,0,Comparators (optical)
69,2, Integrated circuits
69,3, Biasing circuit
69,4, Circuit functionality
69,5, Load capacitors
69,6, Low power application
69,7, Low supply voltages
69,8, Measurements of
69,9, Strength ratios
69,10, Subthreshold
69,11, Comparator circuits
70,0,Friction
70,2, Martensite
70,3, Martensitic transformations
70,5, Pearlite
70,6, Pearlitic transformations
70,7, Scanning electron microscopy
70,10, Cooling rates
70,11, Geometric properties
70,12, Interface temperatures
70,14, Pearlitic microstructure
70,17, Weld microstructures
70,18, Cooling
73,0,Electron transport properties
73,1, Electron tunneling
73,2, Finite element method
73,3, Inverse problems
73,5, Nanocomposites
73,6, Nanoparticles
73,7, Percolation (solid state)
73,8, Poisson distribution
73,10, Quantum chemistry
73,11, Solvents
73,12, Conductive nanoparticles
73,13, Effective medium theories
73,14, Orientation distributions
73,15, Percolation behavior
73,17, Piezo-resistive behavior
73,18, Piezo-resistive sensors
73,19, Random resistor networks
73,20, Wearable sensors
75,3, Potential energy functions
75,4, Rigid structures
75,6, Contact-aided compliant mechanisms
75,7, Geometric constraint
75,8, Geometric information
75,10, Large deflection analysis
75,11, Pseudo-rigid body models
75,12, Static equilibrium configurations
76,0,Ashes
76,2, Fuels
76,4, Particle size
76,7, Char reactivity
76,8, Diffusion controlled
76,9, Kinetic reactions
76,10, Kinetic reactivity
76,11, Kinetically controlled
76,13, Theoretical modeling
76,15, ash
76,16, biomass
76,17, burning
76,18, catalysis
76,20, reaction kinetics
76,21, reactive transport
76,22, theoretical study
77,0,Brute force search
77,2, K points
77,3, K-point sampling
77,4, On the flies
77,6, Symmetry reduction
77,7, Uniform distribution
77,8, Density functional theory
78,0,Frequency division multiplexing
78,1, Frequency domain analysis
78,2, Low noise amplifiers
78,3, Microwave antennas
78,4, Notch filters
78,5, Printed circuit design
78,6, Receiving antennas
78,7, Slot antennas
78,8, Timing circuits
78,9, Defected ground plane
78,10, Electromagnetic isolation
78,11, Frequency division duplexed
78,12, Frequency division duplexing
78,13, Isolation performance
78,14, Small aircraft
78,15, Unmanned aerial systems
78,16, X bands
78,17, Printed circuit boards
79,0,Disturbance rejection
79,1, Gases
79,3, Silicon
79,5, Thermal gradients
79,6, Conduction-cooling
79,7, Fabrication process
79,8, Gas chromatographic column
79,9, Heating and cooling rates
79,10, High-resolution separations
79,11, Microcolumns
79,12, Quadratic temperature
79,13, Temperature profiles
79,14, Gas chromatography
81,0,Boundary layer flow
81,1, Boundary layers
81,2, Buoyancy
81,3, Differential equations
81,5, Hydrophobicity
81,7, Nusselt number
81,8, Polonium compounds
81,9, Prandtl number
81,10, Surface properties
81,11, Analytical investigations
81,12, Boundary layer thickness
81,13, Increased temperature
81,15, Super-hydrophobic surfaces
81,16, System of differential equations
81,17, Temperature jump
82,1, Aluminum oxide
82,2, Calcination
82,6, Ethane
82,7, Ethylene
82,9, Nickel oxide
82,10, Productivity
82,12, Alumina support
82,13, Alumina-supported
82,14, Calcination temperature
82,15, Energy-efficient process
82,16, NiO catalysts
82,17, Oxidative dehydrogenation of ethanes
82,18, Oxidative dehydrogenations
82,19, Reaction temperature
82,20, Dehydrogenation
83,0,Feedback
83,1, Friction
83,2, Identification (control systems)
83,3, Relay control systems
83,4, Religious buildings
83,5, Research laboratories
83,6, Restoration
83,8, Adaptive methods
83,9, Adaptive relay
83,10, Autotuning
83,11, Friction stir welding(FSW)
83,12, Non-oscillations
83,14, Relay test
83,16, article
83,18, welding
84,0,Battery management systems
84,1, Digital communication systems
84,3, Ions
84,4, Kalman filters
84,5, Probability
84,7, BCJR algorithm
84,8, Digital communications
84,9, Interacting multiple model
84,10, Markovian process
84,11, Post processing
84,12, Postprocessing algorithms
84,13, Probability mass function
84,14, Transition probabilities
84,15, Lithium-ion batteries
85,1, Block codes
85,6, Space time codes
85,7, Space-time block coding (STBC)
85,10, Channel conditions
85,11, Equalizer coefficients
85,12, Mean squared error
85,13, Multipaths
85,14, Nonconvex functions
85,15, Sparse channels
85,16, Transmit diversity
86,0,3D modeling
86,1, Atmospheric temperature
86,5, Iron ores
86,6, Oil field equipment
86,11, Convective heat transfer
86,13, Particle concentrations
86,14, Radiation and convection
86,16, Radiative heat transfer equation
86,17, Radiative heat transfer modeling
86,18, Heat convection
88,1, Tantalum
88,2, Back stress
88,4, Crystal plasticity finite element methods (CP FEM)
88,6, Electron back scatter diffraction
88,8, Individual components
88,9, Stress-strain response
89,0,Global warming
89,1, Public policy
89,2, Resource allocation
89,3, Surveys
89,5, Turbulence
89,6, Environmental dynamics
89,8, Green products
89,9, Team creativity
89,10, Technological turbulences
89,11, Human resource management
91,0,Contact lenses
91,1, Drug delivery
91,2, Hydrogels
91,3, Propanol
91,4, Silicones
91,5, Solubility
91,6, Swelling
91,7, Targeted drug delivery
91,8, Artificial tears
91,9, Conventional lens
91,10, Hansen solubility parameters
91,12, Poly hydroxy ethyl methacrylates
91,13, Silicone hydrogels
91,14, Solubility parameters
91,15, Solvent chemistries
91,16, Controlled drug delivery
91,17, alpha tocopherol
91,18, galyfilcon A
91,20, propanol
91,21, trichloroethylene
91,23, drug release
91,24, drug uptake
91,25, priority journal
92,0,Antimicrobial agents
92,1, Biocompatibility
92,2, Medical applications
92,3, Medical nanotechnology
92,4, Metal nanoparticles
92,6, Nanomagnetics
92,7, Nanostructured materials
92,9, Peptides
92,10, Physicochemical properties
92,11, Antibacterial peptides
92,12, Biomedical applications
92,13, Cathelicidin
92,14, Ceragenins
92,15, Magnetic nano-particles
92,18, Therapeutic potentials
92,20, antiinfective agent
92,21, antimicrobial cationic peptide
92,22, cathelicidin antimicrobial peptide LL 37
92,23, ceragenin
92,24, magnetic nanoparticle
92,25, nanomaterial
92,26, nanoparticle
92,27, unclassified drug
92,28, antibiofilm activity
92,29, antibiotic therapy
92,30, antifungal activity
92,31, antimicrobial activity
92,32, antineoplastic activity
92,33, bacterial strain
92,34, cancer therapy
92,35, drug delivery system
92,36, drug efficacy
92,37, drug formulation
92,38, drug potency
92,39, Escherichia coli
92,40, experimental therapy
92,41, fractional inhibitory concentration index
92,42, human
92,43, immunomodulation
92,44, immunotherapy
92,45, infection prevention
92,46, minimum inhibitory concentration
92,47, nanomedicine
92,48, nonhuman
92,49, pathogen clearance
92,50, pleiotropy
92,51, recurrent disease
92,52, regenerative medicine
92,53, Review
92,54, urinary tract infection
95,0,Flow velocity
95,1, Graphite fibers
95,2, Optical data processing
95,3, Autoclave methods
95,4, Automated methods
95,5, Carbon reinforcements
95,6, Flow orientations
95,7, High performance composites
95,8, Liquid composite molding
95,9, Minimum velocities
95,10, Optical measurement
95,11, Image analysis
96,0,Circuit simulation
96,1, Computer aided software engineering
96,2, Computer programming
96,5, Photonic devices
96,7, Transceivers
96,8, Deep knowledge
96,9, Free and open source softwares
96,10, Open sources
96,11, Photonic integrated circuits
96,12, Plug-ins
96,13, Photonic integration technology
97,0,Clothes
97,3, Textiles
97,4, Adaptive thinking
97,5, Cognitive modes
97,7, Industrial designers
97,8, Most likely
97,10, Industrial research
98,0,Classification (of information)
98,1, Computational linguistics
98,2, Intelligent computing
98,3, Sentiment analysis
98,4, Transfer learning
98,5, Based reasonings
98,6, Commonsense reasoning
98,7, Emotional classification
98,8, Empirical evaluations
98,9, Implicit knowledge
98,10, Internal representation
98,11, Linear operations
98,12, Threat detection
98,13, Embeddings
99,0,Electrostatic actuators
99,1, Electrostatics
99,3, Nanofluidics
99,4, Pumps
99,6, Capillary force
99,7, Electrostatic actuation
99,8, Nano channels
99,9, Nano scale
99,10, Peristaltic pump
99,11, Pumping rate
99,12, Silica thin films
100,0,Continuous time systems
100,1, Fault tolerant computer systems
100,2, Maintainability
100,3, Markov chains
100,5, Time-to-failure
100,6, Common cause failure
100,7, Continuous time Markov chain
100,8, Fundamental limitations
100,9, Markov chain models
100,10, Mitigation techniques
100,11, Reliability improvement
100,12, System reliability
100,13, Triple modular redundancy
100,14, Redundancy
101,1, Controllers
101,3, End effectors
101,6, Sliding mode control
101,8, McKibben actuators
101,9, Model predictive controllers
101,10, Model-based control methods
101,11, Multiple-degree-of-freedom
101,12, Simultaneous control
101,13, Sliding mode controller
101,14, Unstructured environments
101,15, Variable stiffness
101,16, Position control
102,2, Analysis and evaluation
102,3, Decomposition technique
102,4, Design activity
102,5, Envelope method
102,6, Multi-user
102,7, Partitioning methods
102,8, Partitioning techniques
102,9, Sensitive datas
102,10, Computer aided design
103,4, Acoustic energy
103,5, Acoustic response
103,6, Bandlimited
103,8, Inspection time
103,9, Measurement instruments
103,10, Moving platform
103,11, Multi channel
108,0,Decision trees
108,1, Forestry
108,2, Information dissemination
108,5, Network security
108,7, Massive data
108,8, Offensive operations
108,9, Phishing
109,0,Bragg cells
109,1, Codes (symbols)
109,3, Continuum mechanics
109,4, Crystal lattices
109,5, Crystallites
109,8, Diffraction patterns
109,10, Interferometry
109,11, Molecular crystals
109,12, Nanocrystalline materials
109,13, Parameterization
109,14, Single crystals
109,15, X ray diffraction
109,16, Arbitrary Lagrangian Eulerian
109,17, Crystal lattice deformation
109,18, Cyclotrimethylenetrinitramine
109,19, Dynamic compression experiment
109,20, In-situ X-ray diffraction
109,21, Parametric uncertainties
109,22, Single-crystal materials
109,23, Thermo-mechanical response
112,0,Fault tolerant computer systems
112,1, Ionizing radiation
112,2, Logic gates
112,3, Neutron scattering
112,4, Radiation effects
112,5, Radiation hardening
112,7, Configuration scrubbing
112,8, Fault injection
112,9, Radiation testing
112,10, Single event effects
112,11, Single event upsets
112,12, Single point failure
113,0,Error correction
113,2, Microcontrollers
113,4, Radiation protection
113,5, Statistical methods
113,6, Error correction codes
113,7, Multiple bit upset
113,8, Multiple cell upset
113,9, Physical layout
113,11, Radiation tests
114,0,Magnetic fields
114,1, Nondestructive examination
114,2, Piezoelectricity
114,3, Spectroscopy
114,4, Transducers
114,5, Ultrasonic applications
114,6, Vibrations (mechanical)
114,7, Electromagnetic excitations
114,8, Electromagnetic techniques
114,9, Electromagnetic transducer
114,10, Non destructive evaluation
114,11, Non-linear parameters
114,12, Nonlinear resonant ultrasound spectroscopies
114,13, Resonance frequencies
114,14, Selective excitations
114,15, Electric excitation
115,1, Computational efficiency
115,5, Constraint model
115,8, Geometrical aspects
115,9, Numerical results
115,10, Preliminary design
115,11, Rotational stiffness
115,12, Software frameworks
115,13, MATLAB
116,0,Controllers
116,1, Infill drilling
116,2, Oil well drilling
116,3, Controller models
116,4, Feedback measurements
116,5, High fidelity models
116,6, Highly accurate
116,7, Managed Pressure Drilling
116,8, Physical systems
116,9, Simulation studies
116,10, System modeling
119,0,Dipole antennas
119,1, Electromagnetic waves
119,3, Effective area
119,4, Gain enhancement
119,5, Minimum scattering antennas
119,6, Parasitic element
119,7, Poynting vectors
119,8, Antenna arrays
120,0,Angular momentum
120,1, Dynamical systems
120,2, Momentum transfer
120,3, Reynolds equation
120,4, Reynolds number
120,5, Turbulent flow
120,6, Azimuthal momentum
120,7, Free-slip boundary conditions
120,8, Full three-dimensional
120,9, Independent variables
120,10, Momentum transports
120,11, Plane Couette flow
120,12, Taylor Couette flow
120,13, Velocity components
120,14, Shear flow
122,0,Brain
122,1, Chemical activation
122,2, Complex networks
122,3, Computer aided diagnosis
122,5, Graph algorithms
122,6, Graph structures
122,7, Image classification
122,8, Magnetic resonance imaging
122,9, Tumors
122,10, Activation functions
122,11, Brain tumor classifications
122,12, Brain tumors
122,13, Clinical experience
122,14, Computer assisted diagnosis
122,15, Network structures
122,16, Neural network designs
123,0,Automation
123,1, Commercial off-the-shelf
123,5, Software testing
123,6, System-on-chip
123,7, Cache configurations
123,9, Silent data corruption (SDC)
123,11, Soft error
123,12, Software fault tolerances
123,13, Software protection
123,15, Program compilers
126,3, Feedback
126,4, Holograms
126,5, Holographic displays
126,6, Man machine systems
126,7, Manipulators
126,8, Manual control
126,10, Process control
126,11, Robotic arms
126,13, Structural dynamics
126,14, Complex operations
126,16, Human supervision
126,17, Interactive robot
126,18, Joy-stick interfaces
126,19, MicroSoft
126,20, Robot control systems
126,21, Robotic manipulators
127,0,Acoustic arrays
127,1, Acoustic measuring instruments
127,2, Acoustic noise measurement
127,3, Costs
127,4, Data fusion
127,5, Machinery
127,9, Acoustic measurements
127,10, Acoustic techniques
127,11, Frequency contents
127,12, Information contents
127,13, Safety and securities
127,14, Spatial resolution
127,15, Structural health
127,16, Vibrational information
128,0,Charging time
128,1, Efficiency
128,2, System buses
128,3, Voltage regulators
128,5, Constant current
128,6, Constant current and constant voltages
128,7, Hardware implementations
128,8, Output inductors
128,11, Universal serial bus
128,12, Secondary batteries
129,0,Atomic beams
129,1, Atoms
129,2, Frequency standards
129,4, Quantum optics
129,6, Ballistic trajectories
129,7, Equivalent electrical circuit model
129,8, Experimental parameters
129,9, Magnetooptical traps
129,10, Micro-fabrication techniques
129,11, Optical frequency standard
129,12, Precision metrology
129,13, Precision spectroscopy
129,14, Crystal atomic structure
132,0,Health risks
132,1, Nursing
132,2, Surveying
132,4, Health care costs
132,5, Health care providers
132,6, Hospital costs
132,7, Medical errors
132,8, Operational failures
132,9, Patient health
132,10, Quality of care
132,12, Hospitals
135,0,asparaginase
135,1, cell extract
135,2, clearcoli cell extract
135,5, bacterium culture
135,6, cell free system
135,7, drug approval
135,9, extraction
135,10, Food and Drug Administration
135,11, leukemia
135,13, protein expression
135,14, protein synthesis
136,2, Cylindrical surface
136,3, Developable surfaces
136,4, Engineering models
136,5, Four bar
136,6, Graphical methods
136,7, Kinematic Analysis
136,8, Morphing
136,9, Spatial restrictions
139,0,Machine learning
139,1, Mass spectrometry
139,2, Petroleum reservoir evaluation
139,3, Clustering
139,4, Clustering evaluation
139,5, Clustering problems
139,6, Explicit treatments
139,8, Gold standards
139,10, Noisy observations
139,11, Cluster analysis
140,0,Carbon fiber reinforced plastics
140,1, Carbon fibers
140,2, Computerized tomography
140,3, Cracks
140,5, Porosity
140,6, Reinforcement
140,7, Resin transfer molding
140,9, Wool
140,10, Yarn
140,11, Carbon fibre reinforced polymer
140,12, Damage mechanics
140,13, Delamination growth
140,14, Out-of-plane loading
140,15, Quasi-static indentation
140,16, Quasi-static loading
140,17, Reinforced polymers
140,18, Tomographic imaging
140,19, Loading
141,0,Algebra
141,1, Boundary value problems
141,3, Elasticity
141,4, Integration
141,5, Laplace transforms
141,6, Number theory
141,8, Sailing vessels
141,14, Boundary element method
142,0,Decoding
142,3, Coset coding
142,4, Interleaved coding
142,5, Physical layer security
142,6, Physical-layer securities
142,7, Quadrature-amplitude modulations (QAM)
142,9, Wireless transmission scheme
144,0,Cameras
144,3, Activity recognition
144,4, Annotating
144,5, Labor intensive
144,6, Multiple recordings
144,7, Multiple sensors
144,9, Video and datum
144,10, Visual indicators
144,11, Data acquisition
145,1, Cryptography
145,4, Telecommunication repeaters
145,5, Nonreciprocal circuits
145,6, Operational parameters
145,7, Propagation channels
145,8, Radio frequency circuitries
145,9, Reciprocity principle
145,10, Secret key generations
145,12, Total least squares
146,0,beta glucan
146,1," beta-1,3-D-glucan"
146,3, air conditioning
146,4, animal
146,5, climate
146,6, cross-sectional study
146,7, dust
146,8, housing
146,10, indoor air pollution
146,11, poverty
146,12, procedures
146,13, Pyroglyphidae
146,14, Utah
146,15, volatilization
146,16, Air Conditioning
146,17," Air Pollution, Indoor"
146,18, Animals
146,19, beta-Glucans
146,20, Climate
146,21, Cross-Sectional Studies
146,22, Dust
146,23, Endotoxins
146,24, Housing
146,25, Humans
146,26, Poverty
146,29, Volatilization
151,0,Approximation theory
151,1, Invariance
151,5, Time varying control systems
151,7, Balanced singular perturbation approximations
151,8, Balanced truncation
151,9, Boundary approximation methods
151,10, Linear time invariant systems
151,11, Model parameterization
151,13, Model reduction techniques
151,14, Singular perturbation approximation
151,15, Approximation algorithms
152,0,Graphic methods
152,1, Image communication systems
152,2, Regression analysis
152,3, Scales (weighing instruments)
152,4, Image gradients
152,6, Local binary patterns
152,7, No references
152,9, Image quality
153,0,Annealing
153,4, Polyethylene terephthalates
153,5, Processing
153,6, Annealing temperatures
153,7, Annealing time
153,9, Force response
153,11, Polyethylene terephthalates (PET)
153,12, Processing method
153,13, Traditional engineerings
153,14, Plastic bottles
154,0,Data mining
154,2, Artificial neural network models
154,3, Connection weights
154,4, Historical records
154,5, Input variables
154,6, Manufacturing environments
154,7, Operating condition
154,8, Predictive variables
154,9, Process characteristics
154,10, Discrete event simulation
159,4, Maximum likelihood estimation
159,5, Quadrature phase shift keying
159,6, Telemetering
159,8, Continuous phase modulation
159,10, Frequency selective multipath
159,11, Matching pursuit algorithms
159,13, Sparse channel estimations
159,14, Channel estimation
160,0,Distribution functions
160,1, Observability
160,3, Communication parameters
160,4, Cosimulation
160,5, Empirical cumulative distribution functions
160,6, Hybrid power systems
160,8, Power system networks
160,9, Probabilistic network
161,4, Differential algebraic equations
161,5, Dynamic power systems
161,7, Networked systems
161,8, Partial observation
161,9, Reduced order systems
161,10, System measurement
161,11, Transient stability models
161,12, Transients
162,0,Mechanisms
162,1, Applied origami
162,2, Complex 3D geometry
162,3, Cost-sensitive
162,5, Folding technique
162,6, Manufacturing methods
163,0,Buildings
163,1, Earthquakes
163,2, Foundations
163,3, Mapping
163,4, Soils
163,6, Building damage
163,7, Building performance
163,8, Engineering reconnaissance
163,9, Foundation deformation
163,10, Foundation performance
163,12, Strong ground motion
163,14, Seismic response
163,16, deformation
163,17, earthquake damage
163,18, earthquake event
163,19, foundation
163,20, ground motion
163,21, seismic design
163,22, soil-structure interaction
163,23, structural response
163,24, Federal District [Mexico]
163,25, Mexico City
163,26, Mexico [North America]
164,1, Density (specific gravity)
164,6, Bending moduli
164,7, Carbon material
164,8, Destructive testing
164,9, Effective materials
164,10, Emerging materials
164,11, Maximum stiffness
164,12, Micro electromechanical system (MEMS)
164,13, Non destructive testing
165,1, Cylinders (shapes)
165,2, Electron devices
165,4, Environmental testing
165,6, Polyamides
165,7, Rayon
165,9, Thermal expansion
165,10, Thermal shock
165,11, Area projection
165,12, Conductive ink
165,13, Environmental conditions
165,14, Extreme temperatures
165,15, Printed electronics
165,16, Strength failures
165,17, Temperature cycling
165,18, Thermal expansion mismatch
165,19, Electronics packaging
166,1, Diseases
166,4, Medical informatics
166,5, Proportional control systems
166,6, Transfer functions
166,7, Two term control systems
166,8, Dynamic characteristics
166,9, Exercise response
166,10, Gulf War
166,11, Homeostatic regulations
166,12, Oscillatory behaviors
166,14, Proportional integral derivative controllers
166,15, Response parameters
166,17, Control Systems
166,20, Feedback Control
166,21, Patterns
166,22, Persian Gulf
166,23, Processes
166,24, Transfer Functions
169,0,Heat convection
169,1, Jets
169,2, Liquids
169,4, Ordinary differential equations
169,9, Isoflux
170,0,Benchmarking
170,1, Graphic methods
170,3, Image Structures
170,4, Just-noticeable difference
170,6, Reduced reference
173,0,Biosensors
173,1, Diagnosis
173,4, Bio photonics
173,5, Detection capability
173,6, Detection enhancement
173,8, Liquid core waveguide
173,9, Low concentrations
173,10, Opto-fluidics
173,11, Optofluidic sensors
174,0,Human computer interaction
174,2, Swarm intelligence
174,3, Transparency
174,4, Emergent behaviors
174,5, Machine systems
174,6, Real-world
174,7, Swarm robotic systems
174,8, Swarm systems
174,9, Transparency criteria
174,10, Human robot interaction
174,13, machine
174,14, monitoring
175,0,Bootstrapped switches
175,1, Bottom plate
175,2, Comb structure
175,3, Dual path
175,4, Nonlinear capacitance
175,5, Parasitic capacitance
175,7, Time-interleaved
175,8, Capacitance
176,0,Biomedical engineering
176,1, Control engineering
176,3, Factory automation
176,6, Teaching
176,8, Three term control systems
176,9, Arduino
176,10, Control experiments
176,11, Controller designs
176,12, Industrial process control
176,13, Real systems
176,14, Teaching and learning
176,15, Teaching/learning
176,16, Undergraduate students
176,17, Students
178,0,Artificial intelligence
178,1, Cardiology
178,3, Database systems
178,5, Epidemiology
178,7, Genetic algorithms
178,8, Health insurance
178,9, Heart
178,10, Medical problems
178,11, Sleep research
178,12, Support vector machines
178,13, Clinical decision support systems
178,14, Erectile dysfunction
178,15, Hypertension
178,16, Indexes
178,17, Research database
178,18, Sleep apnea
178,19, Decision support systems
178,20, adult
178,21, aged
178,23, chronic kidney failure
178,24, clinical decision support system
178,25, cohort analysis
178,26, computer prediction
178,27, congestive heart failure
178,28, controlled study
178,29, depression
178,30, diabetes mellitus
178,31, diagnostic accuracy
178,32, diagnostic test accuracy study
178,33, erectile dysfunction
178,34, follow up
178,35, genetic algorithm
178,36, gout
178,38, hypertension
178,39, incidence
178,40, information retrieval
178,41, ischemic heart disease
178,42, jackknife test
178,43, major clinical study
178,44, male
178,45, mathematical model
178,46, middle aged
178,47, pathophysiology
178,48, predictive value
178,49, prevalence
178,50, receiver operating characteristic
178,51, sensitivity and specificity
178,52, sexual behavior
178,53, sleep disorder
178,54, support vector machine
178,55, training
178,56, algorithm
178,58, factual database
178,59, young adult
178,60, Adult
178,61, Aged
178,62, Algorithms
178,63," Databases, Factual"
178,64," Decision Support Systems, Clinical"
178,65, Erectile Dysfunction
178,67, Male
178,68, Middle Aged
178,69, Support Vector Machine
178,70, Young Adult
180,0,Focusing
180,2, Kinetic energy
180,4, Sodium chloride
180,5, Folding kinetics
180,6, G-quadruplexes
180,7, Hydrodynamic flows
180,8, Micro mixers
180,9, Three dimensional focusing
180,10, Mixers (machinery)
181,4, Phase transitions
181,5, Pore size
181,6, Pore structure
181,9, Thermodynamic stability
181,10, Catalytic reactions
181,11, Dopant concentrations
181,12, Doped alumina
181,13, Mesoporous alumina
181,14, Structural feature
181,15, Structure evolution
181,17, Thermal calcination
182,0,Deposition
182,1, Electromagnetic wave emission
182,3, Powder metals
182,7, Binding agent
182,8, High production rate
182,9, Manufacturing techniques
182,13, Review of technologies
182,14, Two-dimensional patterns
182,15, Binders
185,2, Geotechnical engineering
185,3, Piles
185,5, Soil structure interactions
185,13, Soil-Structure Interaction effects
185,15, Surrounding regions
185,16, Earthquake engineering
185,17, building
185,18, damage
185,22, mapping
185,23, seismic response
185,24, strong motion
185,27, Morelos
185,28, Puebla [Mexico]
185,29, Puebla [Puebla (STT)]
186,1, Concatenated codes
186,2, Decoding
186,3, Encoding (symbols)
186,4, Gaussian distribution
186,6, Receivers (containers)
186,8, Signal encoding
186,9, Signal receivers
186,10, Binary symmetric channel
186,11, Information- theoretic securities
186,12, Kullback Leibler divergence
186,16, Security and reliabilities
186,17, Wire-tap channels
187,3, Intermetallics
187,4, Iron alloys
187,7, Soldered joints
187,8, Strain rate
187,9, Tensile testing
187,11, Dissimilar
187,12, Effective heat of formation
187,13, Friction stir
187,14, High strain rate deformation
187,15, Intermetallic compound layer
187,16, Lap-shear testing
187,17, Micro-structural characterization
187,18, Welded interface
188,3, Projectiles
188,4, Areal densities
188,7, Body armors
188,10, Soft body armor
188,11, Test parameters
188,12, Aramid fibers
189,0,Flowcharting
189,3, Statistics
189,4, Average run lengths
189,5, Average time to signal
189,9, Process Variability
189,10, Shewhart control charts
189,12, Control charts
194,1, Design ethnographies
194,3, Global development
196,0,Computer control systems
196,1, Error correction
196,6, Neutrons
196,9, Space applications
196,13, Soft processors
197,0,Technical presentations
197,1, Assessment
197,2, Extended abstracts
197,3, Feedback technology
197,4, Oral presentations
197,5, Peer feedback
197,6, Qualitative feedback
197,7, Real time
197,8, Professional aspects
199,0,Backscattering
199,1, Electron diffraction
199,2, Forming
199,6, Coining
199,7, Dislocation densities
199,9, Micro forming
200,0,Earth (planet)
200,1, Image enhancement
200,2, Luminance
200,3, Meteorological instruments
200,4, Microwave devices
200,5, Microwave measurement
200,6, Microwave sensors
200,7, Microwaves
200,8, NASA
200,9, Radiometers
200,10, Soil moisture
200,12, Advanced Microwave Scanning Radiometer-Earth Observing System (AMSR-E)
200,13, Brightness temperatures
200,14, Image reconstruction techniques
200,15, Scanning multichannel microwave radiometer
200,16, Scatterometer Image Reconstruction algorithms
200,17, Soil moisture active passive (SMAP)
200,18, Special sensor microwave imagers
200,19, Special sensor microwave/Imager
200,20, Image reconstruction
200,22, brightness temperature
200,23, detection method
200,24, image resolution
200,27, satellite sensor
200,29, spatial resolution
201,0,Mechanical properties
201,1, Coordinate equations
201,2, Curved folding
201,5, Energy configurations
201,6, Natural configurations
201,8, Physical model
201,9, Mechanical engineering
202,0,Cooling
202,6, Boiling temperature
202,7, Contact time
202,8, Cooling effectiveness
202,10, Hydrophilic substrate
202,11, Similarity solution
202,13, Temperature variation
207,0,Blending
207,1, Blending function
207,2, Control point
207,6, Refinement algorithms
207,7, Spline surfaces
208,0,Burgers vector
208,1, Dislocations (crystals)
208,2, Learning systems
208,3, Mechanical properties
208,6, Polycrystalline materials
208,7, Dislocation movement
208,10, Grain boundary dislocation
208,11, Loading condition
208,12, Residual burgers vectors
208,13, Slip system
210,1, Antennas
210,2, Automation
210,4, Inspection
210,5, Optical radar
210,7, Remote sensing
210,9, Automated inspection
210,10, Industrial inspections
210,11, Infrastructure modeling
210,13, Multi-scale approaches
210,15, Unmanned aircraft system
210,16, View planning
210,17, Three dimensional computer graphics
212,2, Technology transfer
212,8, Gyroscopes
218,0,Estimation
218,2, Radar
218,3, Weather forecasting
218,4, Wind
218,5, Wind effects
218,6, Antenna measurement
218,7, Azimuth
218,8, Oceans
218,9, Radar scattering
218,11, Scatterometers
218,12, Sea measurements
218,13, Radar measurement
218,16, estimation method
218,17, model validation
218,18, radar
218,20, scattering
218,22, wind direction
219,4, Sampling
219,5, Algorithm performance
219,6, Backus-Gilbert
219,8, Higher resolution images
219,9, Scatterometer image reconstruction
219,12, Variable aperture
219,15, backscatter
219,18, data processing
219,19, image analysis
219,21, imaging method
219,22, noise
220,0,Felt
220,3, Two factor authentication
220,6, User attitudes
220,7, Authentication
222,0,Computer aided instruction
222,2, Education
222,3, Employment
222,4, Technical writing
222,5, Audience awareness
222,6, Case method
222,8, Proposal writing
222,9, Proposals
223,0,Acoustic field measurement
223,1, Acoustic waves
223,2, Boundary conditions
223,6, Underwater acoustics
223,7, Volume measurement
223,8, Absorbing boundary condition
223,9, Acoustic Scattering
223,10, High-frequency scattering
223,13, Acoustic wave scattering
224,0,Branch and bound method
224,3, Electric energy storage
224,4, Electric power transmission networks
224,5, Heat storage
224,6, Power markets
224,7, Quadratic programming
224,8, Thermal energy
224,9, Water cooling systems
224,10, Chiller
224,11, District energy systems
224,13, Intermittent renewables
224,14, Mixed integer quadratic programming
224,15, Near-optimal solutions
224,16, Real-time optimization
224,17, Thermal energy storage tanks
224,18, Integer programming
225,1, Classification (of information)
225,2, Electric load flow
225,8, Data classification
225,10, Load modeling
225,12, Manifold learning algorithm
225,13, Point of interest
225,14, Power-flow solution
225,15, Real-time operation
227,2, Magnesium alloys
227,3, Magnesium printing plates
227,5, Stochastic systems
227,9, Number of transmissions
227,10, Texture information
227,11, Uni-axial compression
227,12, Visco-plastic self-consistent
227,13, Viscoplastic self-consistent model
227,15, Stochastic models
228,0,Clay deposits
228,1, Deposits
228,2, Faulting
228,6, 3d finite differences
228,7, Epicentral distances
228,8, Hydraulic conditions
228,10, Maintenance structures
228,12, Seismic vulnerability
228,15, aftershock
228,17, earthquake mechanism
228,18, finite difference method
228,19, risk assessment
228,21, site effect
228,22, site investigation
228,23, soil profile
228,25, subsoil
228,26, three-dimensional modeling
228,27, urban area
229,2, Amplitude modulation
229,3, Coplanar waveguides
229,4, Extrusion
229,5, Reinforced plastics
229,7, Substrates
229,9, Coplanar wave-guide (CPW)
229,10, Electrical conductivity
229,12, Radio frequency devices
229,13, Smoothing process
229,14, Solvent absorption
230,0,Mechanical permeability
230,1, Process monitoring
230,2, Radial flow
230,5, Characterization procedures
230,6, Coefficient of variation
230,7, Fabrics/textiles
230,8, Fiber volume content
