author_ids,title,source_title,article_no,cited_count,doi,abstract,document_type,keywords
"['55619678900', '9277159100', '51461952600']",Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Applied Energy,,4.0,10.1016/j.apenergy.2018.06.098,"Current projections to the year 2050 reveal that fossil fuels will remain the main source of energy generation. To achieve the target limits of carbon dioxide emission, set by national and international policies, carbon capture will play a key role. Modeling and optimization of various carbon capture technologies such as pre-combustion, oxy-fuel, and post-combustion, when integrated with coal-fired power plants, have been researched extensively in literature. Research on the integration of power generation with capture technologies regarding comparisons between the different schemes in response to dynamic inputs is lacking. This work provides a comparison between a low temperature carbon capture and a chemical absorption process in response to a dynamic electricity demand and price profile and in the presence of an intermittent wind power supply. The objective in this work is to meet the overall electricity demand of residential users and the carbon capture process while the total operating cost associated with the integrated system of power generation and carbon capture is minimized. This comparison includes scenarios with and without energy storage associated with each capture technology. It is observed that in both integrated systems, with and without energy storage, the overall electricity demanded by the capture process and residential users is supplied by a combination of coal and wind power. For the case without energy storage, the total operating cost and energy demand of the low temperature carbon capture, based on a similar amount of captured carbon dioxide, are 4.3% and 20.5% less than that of chemical absorption, respectively. For the scenario with energy storage, the low temperature carbon capture requires 32.34% less energy to capture similar amounts of carbon dioxide while incurring 9.09% less overall operational cost. © 2018 Elsevier Ltd",Article,"['Carbon capture', ' Chemical absorption', ' Dynamic inputs', ' Dynamic optimization', ' Low temperature carbon capture', ' Power generationCarbon capture', ' Carbon dioxide', ' Carbon dioxide process', ' Coal', ' Coal combustion', ' Coal storage', ' Costs', ' Electric energy storage', ' Electric power systems', ' Electric power utilization', ' Fossil fuel power plants', ' Global warming', ' Housing', ' Integrated control', ' Operating costs', ' Power generation', ' Precombustion', ' Wind power', ' Carbon capture process', ' Carbon dioxide emissions', ' Chemical absorption', ' Coal-fired power plant', ' Dynamic optimization', ' International policies', ' Low temperatures', ' Modeling and optimization', ' Temperature', ' absorption', ' carbon dioxide', ' carbon emission', ' coal-fired power plant', ' combustion', ' comparative study', ' demand analysis', ' electricity', ' energy policy', ' energy storage', ' fossil fuel', ' integrated approach', ' low temperature', ' optimization', ' performance assessment', ' power generation', ' prediction', ' price dynamics', ' wind power']"
"['26634229600', '57202852104', '57202852946', '57202860730']",Flexural strength and stiffness of block-out connections for steel columns,Engineering Structures,,2.0,10.1016/j.engstruct.2018.06.055,"In many steel buildings, the columns are attached to the foundation through a block-out in the slab-on-grade that is later filled with unreinforced concrete. Engineers typically neglect the block-out concrete in design, effectively treating block-out connections as exposed connections with pinned behavior. Quantifying the flexural strength and stiffness of block-out connections is helpful for determining moment demands on foundations and may lead to more economical connections at the base of steel moment frames. Eight experimental specimens (two-thirds scale) were subjected to lateral loads to investigate the effects of column size, block-out thickness, and load orientation on connection flexural strength and stiffness. The observed flexural strengths were 1.4–2.7 times greater than those calculated neglecting the block-out concrete, because the block-out concrete effectively thickened and expanded the column base plate. A simple method was developed that predicted the flexural strength of the block-out connections to within 10 percent. The effective flexural stiffness at the base of the columns that were tested could be reasonably estimated using a model that combines the theory of beams on elastic foundations with a base rotational spring. © 2018",Article,
"['56701619800', '8369472600', '57193322440', '56376235200', '57202237979', '56702333100', '7401994123', '35336731800', '8608718200', '23388379100']",CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Biosensors and Bioelectronics,,14.0,10.1016/j.bios.2018.04.016,"Vertically aligned carbon nanotube array (VANTA) coatings have recently garnered significant attention due in part to their unique material properties including light absorption, chemical inertness, and electrical conductivity. Herein we report the first use of VANTAs grown via chemical vapor deposition in a 2D interdigitated electrode (IDE) footprint with a high height-to-width aspect ratio (3:1 or 75:25 µm). The VANTA-IDEs were functionalized with an antibody (Ab) specific to the human cancerous inhibitor PP2A (CIP2A)—an oncoprotein that is associated with a variety of malignancies such as oral, breast, and multiple myeloma cancers. The resultant label-free immunosensor was capable of detecting CIP2A across a wide linear sensing range (1−100 pg/mL) with a detection limit of 0.24 pg/mL within saliva supernatant—a range that is more sensitive than the corresponding CIP2A enzyme linked immunosorbent assay (ELISA). These results help pave the way for rapid cancer screening tests at the point-of-care (POC) such as for the early-stage diagnosis of oral cancer at a dentist's office. © 2018 Elsevier B.V.",Article,"['Cancer', ' Carbon nanotubes', ' Chemical vapor deposition', ' CIP2A', ' Immunosensor', ' Point-of-care diagnosticsAspect ratio', ' Chemical sensors', ' Chemical vapor deposition', ' Diseases', ' Electrodes', ' Immunosensors', ' Light absorption', ' Yarn', ' Cancer', ' CIP2A', ' Electrical conductivity', ' Enzyme linked immunosorbent assay', ' Inter-digitated electrodes', ' Label-free immunosensor', ' Point of care diagnostic', ' Vertically aligned carbon nanotube', ' Carbon nanotubes', ' cancerous inhibitor PP2A', ' carbon nanotube', ' oncoprotein', ' unclassified drug', ' antibody', ' autoantigen', ' KIAA1524 protein, human', ' membrane protein', ' antibody specificity', ' Article', ' cancer screening', ' controlled study', ' enzyme linked immunosorbent assay', ' intermethod comparison', ' mouth cancer', ' point of care testing', ' saliva', ' sensitivity and specificity', ' supernatant', ' vertically aligned carbon nanotube array', ' chemistry', ' early cancer diagnosis', ' electrode', ' genetic procedures', ' human', ' limit of detection', ' metabolism', ' mouth tumor', ' point of care system', ' procedures', ' standards', ' Antibodies', ' Autoantigens', ' Biosensing Techniques', ' Early Detection of Cancer', ' Electrodes', ' Humans', ' Limit of Detection', ' Membrane Proteins', ' Mouth Neoplasms', ' Nanotubes, Carbon', ' Point-of-Care Systems']"
"['57204695840', '35147940600']","Active Topology Inference in Store, Code, and Forward Networks",Proceedings of the International Symposium on Wireless Communication Systems, 8491220,,10.1109/ISWCS.2018.8491220,"This paper presents a technique for active topology inference in store, code, and forward networks. Many techniques exist for topology inference and are well suited for storeand- forward and cut-through switching; however, these simpler techniques fail to capitalize on the flexibility of recoding afforded by store, code, and forward networks. This is in contrast to network coding, which recodes the data whenever possible and consequently achieves the maximum flow (and minimum cut) of throughput across a network. The technique herein utilizes a single probe message between a single source and potentially many destination nodes to achieve deterministic topology inference. © 2018 IEEE.",Conference Paper,"['Network coding', ' Routing', ' Store code and forward', ' Topology inferenceCodes (symbols)', ' Topology', ' Wireless telecommunication systems', ' Destination nodes', ' Maximum flows', ' Routing', ' Single probe', ' Single source', ' Store and forward', ' Store code and forward', ' Topology inference', ' Network coding']"
"['57204692730', '35147940600', '56680952700', '57204695450', '7202083837']",On peak-to-average power ratio optimization for coded APSK,Proceedings of the International Symposium on Wireless Communication Systems, 8491087,3.0,10.1109/ISWCS.2018.8491087,"The symmetric information rate is used to define the relationship between the APSK constellation parameters, the code rate, and the average and peak Eb=N0. Minimizing the average Eb=N0 reproduces the DVB-S2 constellation parameters for 16- And 32-APSK. Minimizing the peak Eb=N0 produces DVB-S2 constellation parameters for 16- And 32-APSK that minimize the peak-to-average power ratio. The peak-to-average power ratio gains are less than 1 dB, but when used on coded systems with very steep decoded bit error probability vs. Eb=N0 curves, the gains can be significant. © 2018 IEEE.",Conference Paper,
"['56490084100', '57204693186']",Cryptanalysis of Lempel-Ziv Compressed and Encrypted Text: The Statistics of Compression,Proceedings of the International Symposium on Wireless Communication Systems, 8491196,1.0,10.1109/ISWCS.2018.8491196,"Modern secure communication systems typically follow a pattern at the transmitter of first compression encoding followed by encryption, and then additional encoders to mitigate the effects of channel noise, etc. One of the purposes of the compression algorithm is to remove statistical information about the plaintext, so as to render the ciphertext impervious to statistical attacks. It is well known, however, that in practice there is no such thing as a universal compression algorithm; thus, some statistical information about the plaintext tends to survive the compression process. In this paper, we consider Lempel-Ziv Welch compression and analyze its effectiveness in removing statistical information from English plaintext. Specifically, we present several techniques for exploiting the structure of the compression algorithm to launch a successful statistical attack on compressed and encrypted data. All attacks are ciphertext only, and one of them relies on linear programming. Although our attacks indicate that an eavesdropper may require additional ciphertext to carry out a successful attack if compression is used, the specific adaptive nature of the Lempel-Ziv compression technique leaves its own statistics on the message, which can be exploited by an attacker. © 2018 IEEE.",Conference Paper,
"['57188711588', '57200118672', '57164754700', '57200117120', '57200118993', '57200121629', '16313800700']",Erratum: Hardware and software improvements to a low-cost horizontal parallax holographic video monitor (Applied Optics (2018) 57 (A122-A133) DOI: 10.1364/AO.57.00A122),Applied Optics,,,10.1364/AO.57.008528,"In [1], the trademarked term ""HoloMonitor,"" which belongs to Phase Holographic Imaging PHI AB, was removed. The article was corrected online on 10 September 2018. © 2018 Optical Society of America.",Erratum,
"['55523036500', '56287595000', '7410171017']",Identification and Prioritization of Critical Subject Matter within Mechanical Systems Curriculum in Construction Management Education,International Journal of Construction Education and Research,,1.0,10.1080/15578771.2017.1372535,"In order for students graduating with construction-related undergraduate degrees to provide immediate and effective benefit to their employers, program curricula must accurately reflect the needs of the industry. One area of the typical construction management curriculum that receives a varying level of emphasis and consideration amongst accredited programs is Mechanical Systems. Similarly, the wide range of possible topics and concepts relevant to mechanical systems receive varying levels of attention. The purpose of this research was to identify what mechanical system topics and concepts were perceived by industry partners as being most important for graduating construction students to know. Construction industry professionals were surveyed to determine what topics they believed warranted prioritization in mechanical system courses. Results indicate that topics related to Contract Administration (e.g., plan and specification reading, MEP coordination, submittal review, etc.) and How HVAC Systems Work (e.g., differences between HVAC system types, HVAC equipment, etc.) were comparatively the most important topics for students to have a knowledge of. Instructors of mechanical systems classes should use these findings to determine what major subject areas to focus on, and allocate time to the various specific concepts appropriately within the constraints of their individual program. © 2018, © 2018 Associated Schools of Construction.",Article,
"['56221901100', '56426567600', '57200181918', '56266132600']",The emerging impact of cell-free chemical biosynthesis,Current Opinion in Biotechnology,,37.0,10.1016/j.copbio.2017.12.019,"Biomanufacturing has emerged as a promising alternative to chemocatalysis for green, renewable, complex synthesis of biofuels, medicines, and fine chemicals. Cell-free chemical biosynthesis offers additional advantages over in vivo production, enabling plug-and-play assembly of separately produced enzymes into an optimal cascade, versatile reaction conditions, and direct access to the reaction environment. In order for these advantages to be realized on the larger scale of industry, strategies are needed to reduce costs of biocatalyst generation, improve biocatalyst stability, and enable economically sustainable continuous cascade operation. Here we overview the advantages and remaining challenges of applying cell-free chemical biosynthesis for commodity production, and discuss recent advances in cascade engineering, enzyme immobilization, and enzyme encapsulation which constitute important steps towards addressing these challenges. © 2017",Review,
"['57191108291', '57202904399', '16197655400', '57207901363']",Efficiency of Generalized Regular k-point grids,Computational Materials Science,,4.0,10.1016/j.commatsci.2018.06.031,"Most DFT practitioners use regular grids (Monkhorst-Pack, MP) for integrations in the Brillouin zone. Although regular grids are the natural choice and easy to generate, more general grids whose generating vectors are not merely integer divisions of the reciprocal lattice vectors, are usually more efficient (Wisesa et al., 2016). We demonstrate the efficiency of generalized regular (GR) grids compared to Monkhorst-Pack (MP) and simultaneously commensurate (SC) grids. In the case of metals, for total energy accuracies of one meV/atom, GR grids are 60% faster on average than MP grids and 20% faster than SC grids. GR grids also have greater freedom in choosing the k-point density, enabling the practitioner to achieve a target accuracy with the minimum computational cost. © 2018 Elsevier B.V.",Article,
"['56703039000', '39362193900', '57197749025', '57201022887', '57217564448']",Rapid Operational Access and Maneuver Support platform for military logistics and operation planning in water environments,Journal of Defense Modeling and Simulation,,,10.1177/1548512918772028,"Logistical and combat operations in riverine, estuarine, and coastal environments remain a key military focus due to limited maneuverability, imperfect knowledge, and rapidly changing constraints. Vessel operation in water environments can be enhanced by routing algorithms that integrate mission parameters with environmental data and vessel specifications. These algorithms must update predetermined routes in a timely manner as parameters and specifications change. The US Army Engineer Research and Development Center Coastal and Hydraulics Laboratory is developing the capability for military planners to rapidly optimize vessel routes in water environments by extending capabilities of the Rapid Operational Access and Maneuver Support (ROAMS) modeling platform. The ROAMS platform allows users to rapidly generate models of a water environment in limited-information conditions, utilizing the Adaptive Hydraulics and STeady-state spectral WAVE computational engines for the base two-dimensional hydrodynamics and waves, respectively. Routing capabilities are built on path search and penalty-barrier optimization to automatically produce routes that account for temporally changing environmental variables and vessel maneuverability. This work outlines the components of the ROAMS routing package and presents a case study using ROAMS in a northeastern American metropolitan area. Benefits and limitations of the ROAMS routing platform are discussed and future improvements are suggested. © The Author(s) 2018.",Article,"['logistics', ' military logistics', ' Operation planning', ' route modeling', ' vessel route planningFighter aircraft', ' Hydraulics', ' Parameter estimation', ' Specifications', ' Changing constraints', ' Coastal and hydraulics laboratories', ' Coastal environments', ' Environmental variables', ' Military logistics', ' Operation planning', ' Route planning', ' Two-dimensional hydrodynamics', ' Logistics']"
"['57208823236', '57213462935', '57205507684', '57205503531', '57194047397', '57205500882', '57205505883', '57212277009', '35587077000']",Lead sulfide quantum dots inside ferritin: synthesis and application to photovoltaics,Applied Nanoscience (Switzerland),,2.0,10.1007/s13204-018-0849-y,"We present a new water phase synthesis method for lead sulfide colloidal quantum dots, and test their applicability for use in photovoltaics. The quantum dots are synthesized inside ferritin protein shells (PbS-FTN). Our synthesis method is simpler than what has previously been reported for PbS-FTN quantum dots, namely we demonstrate that the synthesizing reaction can be run in an aerobic environment and with a Pb:S ratio of 1:1. Protection from photocorrosion is demonstrated by comparing the time evolution of photoluminescence from PbS-FTN with that of non-ferritin PbS quantum dots. In the photovoltaic testing, we use a dye-sensitized solar cell scheme with PbS-FTN as the dye and test several methods to adsorb PbS-FTN to the mesoporous TiO2 layer which is coated on the solar cell anodes. The highest performing cell shows an efficiency of 0.29% using the drop casting method. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.",Article,
"['57201759181', '57211516485', '16548784600', '57190849274']",A pseudo-static model for dynamic analysis on frequency domain of distributed compliant mechanisms,Journal of Mechanisms and Robotics, 051011,13.0,10.1115/1.4040700,"This paper presents a pseudo-static modeling methodology for dynamic analysis of distributed compliant mechanisms to provide accurate and efficient solutions. First, a dynamic stiffness matrix of the flexible beam is deduced, which has the same definition and a similar form as the traditional static compliance/stiffness matrix but is frequency dependent. Second, the pseudo-static modeling procedure for the dynamic analysis is implemented in a statics-similar way based on D'alembert's principle. Then, all the kinematic, static and dynamic performances of compliant mechanisms can be analyzed based on the pseudo-static model. The superiority of the proposed method is that when it is used for the dynamic modeling of compliant mechanisms, the traditional dynamic modeling procedures, such as calculation of the elastic and kinetic energies as well as using Lagrange's equation, are avoided and the dynamic modeling is converted to a staticssimilar problem. Comparison of the proposed method with an elastic-beam-based model in previous literature and finite element analysis for an exemplary XY precision positioning stage reveals its high accuracy and easy operation. © 2018 by ASME.",Article,"['Compliant mechanismsDynamics', ' Flexible structures', ' Frequency domain analysis', ' Kinetic energy', ' Mechanisms', ' Stiffness matrix', "" D' Alembert's principle"", ' Dynamic stiffness matrix', ' Frequency dependent', ' Frequency domains', "" Lagrange's equation"", ' Modeling procedure', ' Precision positioning stage', ' Static and dynamic performance', ' Compliant mechanisms']"
"['55235047300', '56515354700', '57194105863', '56921113900', '57044630300', '7005654753', '56701050600', '56266132600', '56514586700']",Corrigendum: Efficient decellularization of whole porcine kidneys improves reseeded cell behavior (Biomedical Materials (Bristol) (2016) 11 (025003) DOI: 10.1088/1748-6041/11/2/025003),Biomedical Materials (Bristol), 069501,,10.1088/1748-605X/aadd22,"The above manuscript describes our efforts to improve the process for recellularization of porcine kidneys. We obtained what we believed to be an immortalized cell line of human renal cortical tubular epithelium (RCTE) cells from the Feinberg School of Medicine, Northwestern University to conduct our reseeding experiments. The RCTE cells that were provided to us were later discovered to actually be Madin-Darby Canine Kidney (MDCK) epithelial cells. Despite being of canine origin, MDCK cells are a distal tubule epithelial cell line that behave similarly to human RCTE cells. The conclusions regarding reseeding as reported in our paper are still sound, as described in the following. © 2018 IOP Publishing Ltd.",Erratum,
"['57203184524', '57201465968', '24295291100', '12142543700', '8705255200', '56248395300', '57203180153', '7005486887']",Effect of strain path on forming limits and retained austenite transformation in Q&P 1180 steel,Materials Science and Engineering A,,1.0,10.1016/j.msea.2018.07.062,"Forming limits and retained austenite (RA) transformation in Q&P 1180 steel are quantified as a function of plastic strain levels for three different strain paths. In-plane uniaxial tension testing was performed in a standard test frame, while limiting dome height tooling was employed for out-of-plane biaxial and plane strain tension experiments. Sheet specimens were tested incrementally for each strain path, and the RA content at each level of strain was measured using electron backscatter diffraction (EBSD). The biaxial tension strain path resulted in the greatest effective strain prior to necking at 0.355, compared to 0.123 for plane strain and 0.142 for uniaxial tension. EBSD measurements for various levels of plastic strain reveal a clear dependence of RA rate of transformation on strain path for the three linear strain paths that were employed in this work. Thinning strains appear to provide a slightly better correlation to RA transformation than effective strain levels, where biaxial tension achieved the greatest level just prior to necking, followed by plane-strain tension, and then uniaxial tension. © 2018 Elsevier B.V.",Article,"['Forming limit', ' Q&P steel', ' Retained austenite', ' Strain pathAustenite', ' Ductile fracture', ' Linear transformations', ' Mathematical transformations', ' Plastic deformation', ' Tensile testing', ' Effect of strain', ' Effective strain', ' Electron back scatter diffraction', ' Forming limits', ' Plane strain tension', ' Retained austenite', ' Strain paths', ' Uniaxial tensions', ' Strain rate']"
"['56790117900', '57211516485']",Deployable lenticular stiffeners for origami-inspired mechanisms,Mechanics Based Design of Structures and Machines,,6.0,10.1080/15397734.2017.1406370,"Light-weight origami-inspired mechanisms can provide advantages in deployable space systems and other applications. However, a significant challenge in their design is ensuring that they are suﬃciently stiff. Compliant, deployable stiffeners utilizing a profile that approximates the Euler Spiral are proposed as one possible solution. It is shown that a structure with this specific profile, called a lenticular stiffener, permits stiffeners to be flattened using a force applied at their edge. Formulas for calculating the increase in stiffness are developed. Relations needed to design the deployment behavior of the stiffeners are also derived. Finally, advantages of different configurations of stiffeners are evaluated. These results are verified through simulation and experiments. © 2018 Taylor & Francis.",Article,"['Compliant stiffener', ' finite element models', ' large deflection', ' lenticular stiffener', ' non-linear elasticity', ' origamiCivil engineering', ' Machine design', ' Compliant stiffener', ' Large deflection', ' lenticular stiffener', ' Nonlinear elasticity', ' origami', ' Finite element method']"
['34874038200'],Engineering attitudes: an investigation of the effect of literature on student attitudes toward engineering,International Journal of Technology and Design Education,,2.0,10.1007/s10798-017-9417-0,"The growth of STEM career occupations is outpacing the college enrollment of STEM students in the United States. There have been many research projects investigating this issue. There has not however been a study which investigated the impact non-fiction literature has on student interest in studying STEM (specifically engineering) content. The purpose of this study was to investigate the change of student attitudes toward engineering after reading literature involving non-fiction engineering centric narratives. The study used a modified version of the PATT (Pupils Attitudes Towards Technology) called the TEAS (Technology and Engineering Attitudes Scale) to measure student attitude change. The students were high-school aged students in the United States (ages: 15–17) who were enrolled in an English Literature course. The students completed the TEAS before and after reading and studying two engineering and technology centric non-fiction books (The Boy Who Harnessed The Wind and October Sky). The data revealed that student attitude after reading and studying the two books did not statistically change. © 2017, Springer Science+Business Media B.V.",Article,"['Attitude', ' Engineering', ' Interest', ' Literacy', ' Reading', ' STEM', ' TechnologyEngineering', ' Engineering education', ' STEM (science, technology, engineering and mathematics)', ' Attitude', ' Engineering and technology', ' English literature', ' Interest', ' Literacy', ' Reading', ' STEM careers', ' Student attitudes', ' Students']"
"['56584019300', '57201366662', '57201358872', '56714263700', '8608718200']",Total hemispherical apparent radiative properties of the infinite V-groove with specular reflection,International Journal of Heat and Mass Transfer,,7.0,10.1016/j.ijheatmasstransfer.2018.03.041,"Multiple reflections in a cavity geometry augment the emission and absorption of the cavity opening relative to a flat surface in a phenomenon known as the cavity effect. The extent of the cavity effect is quantified using apparent absorptivity and apparent emissivity. Analysis of complicated thermal systems is simplified through application of apparent radiative properties to cavity geometries. The apparent radiative properties of a specularly-reflecting, gray, isothermal V-groove have been derived analytically, but these results have not been validated experimentally or numerically. Additionally, the model for apparent absorptivity of an infinite V-groove subjected to partial illumination in the presence of collimated irradiation is not available. In this work, the following existing models for a specularly-reflecting V-groove are collected into a single source: (1) the apparent absorptivity of a diffusely irradiated V-groove, (2) the apparent emissivity of an isothermal V-groove and (3) the apparent absorptivity of a V-groove subject to collimated irradiation with full-illumination. Further, a new analytical model is developed to predict the apparent absorptivity of an infinite V-groove subject to collimated irradiation with partial-illumination. A custom, Monte Carlo ray tracing solver is used to predict the apparent radiative properties for all cases as a means of numerical verification by comparing the ray tracing data with the results from the new model in this work and the previously existing models. For diffuse irradiation, the analytical model and ray tracing data show excellent agreement with an average discrepancy of 4.4 × 10−4, verifying the diffuse-irradiation analytical model. Similar agreement is found for collimated irradiation, where the full and partial illumination models indicate average discrepancies of 4.9 × 10−4 and 4.6 × 10−4 when compared with ray tracing data. © 2018 Elsevier Ltd",Article,"['Angular surfaces', ' Cavity effect', ' Specular reflection', ' V-groove', ' Variable emissivity surfaceAnalytical models', ' Electromagnetic wave emission', ' Heat radiation', ' Irradiation', ' Isotherms', ' Radiation', ' Cavity effect', ' Collimated irradiation', ' Monte-Carlo ray tracing', ' Multiple reflections', ' Numerical verification', ' Radiative properties', ' Specular reflections', ' V grooves', ' Ray tracing']"
"['7202006620', '57194692502', '57194679331', '57194686620', '35791260000', '13406135400']",Synthesis of high-specific volume carbon nanotube structures for gas-phase applications,Diamond and Related Materials,,,10.1016/j.diamond.2018.07.022,"A novel and efficient gas-phase method has been developed for synthesizing carbon nanotube (CNT) structures with very high specific volume, high surface area and high porosity. The resulting material has potential application as a catalyst and adsorbent support for gas-phase chemical processes and has several advantages over the conventional liquid-phase approach that involves multiple steps and takes many hours to days resulting in a dense mat of CNTs. Multi-walled CNTs were initially nucleated and grown on alumina nanoparticles using a liquid precursor of ferrocene dissolved in xylene. The CNT seeds were extended using ethylene as the gas precursor. Forces generated by CNT growth separated the alumina support clusters to result in a porous entangled structure with a 60 times gain in weight and a 1300 times gain in volume, compared to the original alumina particles. Effects of ferrocene injection rate, alumina particle sizes, and CNT growth parameters on the volume of the structure were analyzed and it was determined that high ferrocene input, moderate temperatures, and small alumina particles all favor the synthesis of high-volume CNT structures. © 2018 Elsevier B.V.",Article,"['Alumina nanoparticles', ' Carbon nanotubes', ' Catalysis', ' Chemical vapor deposition', ' FerroceneAlumina', ' Carbon nanotubes', ' Catalysis', ' Chemical vapor deposition', ' Ethylene', ' Gas adsorption', ' Gases', ' Iron compounds', ' Multiwalled carbon nanotubes (MWCN)', ' Nanoparticles', ' Organometallics', ' Yarn', ' Alumina Nanoparticle', ' Carbon nano-tube structures', ' Ferrocenes', ' High surface area', ' Liquid precursors', ' Moderate temperature', ' Multi-walled CNTs', ' Resulting materials', ' Aluminum oxide']"
"['57198333909', '56666222000', '7103392045']",Natural frequencies of piled raft foundation including superstructure effect,Soil Dynamics and Earthquake Engineering,,8.0,10.1016/j.soildyn.2018.04.048,"Dynamic characteristics of piled raft foundation system plays an important role in the safety of high-rise buildings subjected to seismic loadings though the analytical study considering the effect of both foundation and superstructure is very few in literature. The present study first proposes an exact analytical solution for piled raft foundation subjected to harmonic excitation and resting on an elastic Winkler foundation to obtain its natural radial frequency. After successful validation through available centrifuge test results, a series of parametric study has been carried out investigating the influence of various geometrical and geotechnical parameters of the foundation and the soils respectively. It is observed that the pile length and the pile diameter has significant effect on the natural radial frequency of the foundation system whereas soil density and spacing between piles have minimal effect. The importance of stiffness of the superstructure is also considered in the proposed methodology. It is found that the natural radial frequency of piled raft foundation including superstructure stiffness decreases by 12% to 28% when compared with the computation of the natural radial frequency excluding effect of superstructure stiffness. Hence, this study provides a new analytical methodology to obtain the dynamics characteristics of piled raft foundation considering the superstructure effect which can be used for the design. © 2018 Elsevier Ltd",Article,"['Earthquakes', ' Natural radial frequency', ' Pile', ' Raft', ' Stiffness', ' SuperstructureConsolidation', ' Earthquakes', ' Foundations', ' Stiffness', ' Tall buildings', ' Analytical methodology', ' Dynamic characteristics', ' Dynamics characteristic', ' Exact analytical solutions', ' Geotechnical parameters', ' Natural radial frequency', ' Raft', ' Superstructure', ' Piles', ' analytical framework', ' centrifugal model test', ' earthquake engineering', ' foundation', ' geotechnical engineering', ' pile', ' stiffness']"
"['56009607700', '57200525944', '57214792802']",Biomechanical modeling of prosthetic mesh and human tissue surrogate interaction,Biomimetics, 27,,10.3390/biomimetics3030027,"Surgical repair of hernia and prolapse with prosthetic meshes are well-known to cause pain, infection, hernia recurrence, and mesh contraction and failures. In literature, mesh failure mechanics have been studied with uniaxial, biaxial, and cyclic load testing of dry and wet meshes. Also, extensive experimental studies have been conducted on surrogates, such as non-human primates and rodents, to understand the effect of mesh stiffness, pore size, and knitting patterns on mesh biocompatibility. However, the mechanical properties of such animal tissue surrogates are widely different from human tissues. Therefore, to date, mechanics of the interaction between mesh and human tissues is poorly understood. This work addresses this gap in literature by experimentally and computationally modeling the biomechanical behavior of mesh, sutured to human tissue phantom under tension. A commercially available mesh (Prolene®) was sutured to vaginal tissue phantom material and tested at different uniaxial strains and strain rates. Global and local stresses at the tissue phantom, suture, and mesh were analyzed. The results of this study provide important insights into the mechanics of prosthetic mesh failure and will be indispensable for better mesh design in the future. © 2018 by the authors.",Article,
"['57216486642', '57203661089', '57203661821', '35562442700']",Autonomous target following with monocular camera on UAS using Recursive-RANSAC tracker,"2018 International Conference on Unmanned Aircraft Systems, ICUAS 2018", 8453285,1.0,10.1109/ICUAS.2018.8453285,"This paper presents a vision-based target tracking and following system using a monocular camera on an Unmanned Aerial System (UAS). The R-RANSAC tracker tracks multiple moving objects in the camera field of view and the proposed controller is capable of following a particular target selected by a user while keeping the target in the center of the image. The main contribution of this paper is that multiple objects can be tracked without imposing restrictions such as color, shape, etc. Also, the hardware test shows that the system is able to follow a target autonomously in a real-world outdoor environment. The proposed algorithm is validated on a 3DR X-8 multirotor platform using a downward facing camera. © 2018 IEEE.",Conference Paper,
"['57203981655', '56248593800']",Learned Search Parameters for Cooperating Vehicles using Gaussian Process Regressions,"2018 International Conference on Unmanned Aircraft Systems, ICUAS 2018", 8453323,,10.1109/ICUAS.2018.8453323,"Unmanned vehicles are capable of working as teams to accomplish a wide variety of mission objectives, such as searching for and tracking targets. In this paper, vehicle search paths are dictated by a joint cost function which maximizes the reward earned from partitioned sections across the search area. In previous work, these rewards were assigned based on the elapsed time since the section had last been searched. This approach is effective in rewarding vehicles to search out areas which haven't been visited in a long time, yet it lacks the ability to weight grid cells differently based on the probability that targets will be in that section. This paper proposes a method of using accumulated knowledge of the average density of targets within an area, along with a Gaussian process regression to assign rewards. Vehicles then choose paths that are more likely to find targets rather than seeking areas which have not been searched recently. Through numerical simulations we show that this method increases the number of targets seen by cooperating UAVs and provides an accurate estimate of target density within a search area. © 2018 IEEE.",Conference Paper,
"['57203978933', '57203982016', '57203992542', '7403218372', '6701720294', '57211516485']",Zipper Tube Reinforcement to Mitigate Flexible Shaft Buckling,"2018 International Conference on Reconfigurable Mechanisms and Robots, ReMAR 2018 - Proceedings", 8449874,,10.1109/REMAR.2018.8449874,"The Zipper Tube Reinforcement (ZTR) is a novel support system developed to mitigate buckling in thin flexible devices used in robotic surgery. The ZTR was inspired by a construction technique called a Buckling Restrained Braced Frame (BRBF) and deployable booms for space applications. It utilizes a zipper function to allow a rolled sheet to deploy into a variable-length tube and stow in a small volume spooled on a mandrel. The tube envelops the device and allows it to support a much higher compressive load before buckling failure through the insertion stroke. The ZTR also enables the possibility of smaller, more flexible devices due to its design for continuous support and could find application in other fields. © 2018 IEEE.",Conference Paper,
